journey_id,start_time,end_time,duration_total_s,n_events,n_zones_visited,zones_sequence,start_zone,end_zone,gender,age_range,completed,day_of_week,hour_of_day,stitch_confidence
J000001,2025-03-10 09:00:32,2025-03-10 09:00:42,10,2,1,Z_E2,Z_E2,Z_E2,M,adult,True,0,9,1.0
J000002,2025-03-10 09:01:00,2025-03-10 09:01:23,23,3,1,Z_C1,Z_C1,Z_C1,M,adult,True,0,9,1.0
J000003,2025-03-10 09:01:38,2025-03-10 09:02:10,32,3,1,Z_C2,Z_C2,Z_C2,M,adult,True,0,9,1.0
J000005,2025-03-10 09:02:58,2025-03-10 09:03:13,15,3,1,Z_E2,Z_E2,Z_E2,F,middle_aged,True,0,9,1.0
J000004,2025-03-10 09:02:44,2025-03-10 09:03:17,33,3,1,Z_C3,Z_C3,Z_C3,M,adult,True,0,9,1.0
J000006,2025-03-10 09:03:03,2025-03-10 09:03:20,17,3,1,Z_E1,Z_E1,Z_E1,F,teenager,True,0,9,1.0
J000009,2025-03-10 09:03:46,2025-03-10 09:03:56,10,2,1,Z_C1,Z_C1,Z_C1,F,teenager,True,0,9,1.0
J000008,2025-03-10 09:03:37,2025-03-10 09:04:01,24,3,1,Z_C1,Z_C1,Z_C1,F,middle_aged,True,0,9,1.0
J000011,2025-03-10 09:04:23,2025-03-10 09:04:49,26,3,1,Z_C2,Z_C2,Z_C2,F,middle_aged,True,0,9,1.0
J000010,2025-03-10 09:04:16,2025-03-10 09:04:51,35,3,1,Z_C2,Z_C2,Z_C2,F,teenager,True,0,9,1.0
J000007,2025-03-10 09:03:31,2025-03-10 09:04:59,88,3,2,Z_N9;Z_E2,Z_N9,Z_E2,M,adult,True,0,9,1.0
J000013,2025-03-10 09:05:04,2025-03-10 09:05:18,14,3,1,Z_C3,Z_C3,Z_C3,F,middle_aged,True,0,9,1.0
J000014,2025-03-10 09:05:11,2025-03-10 09:05:39,28,3,1,Z_C3,Z_C3,Z_C3,F,teenager,True,0,9,1.0
J000012,2025-03-10 09:04:52,2025-03-10 09:05:46,54,3,2,Z_E2;Z_C1,Z_E2,Z_C1,M,adult,True,0,9,1.0
J000019,2025-03-10 09:06:26,2025-03-10 09:06:42,16,3,1,Z_E2,Z_E2,Z_E2,F,senior,True,0,9,1.0
J000018,2025-03-10 09:06:07,2025-03-10 09:07:07,60,3,1,Z_N4,Z_N4,Z_N4,F,teenager,True,0,9,1.0
J000020,2025-03-10 09:06:57,2025-03-10 09:07:12,15,3,1,Z_C1,Z_C1,Z_C1,F,senior,True,0,9,1.0
J000021,2025-03-10 09:07:24,2025-03-10 09:07:35,11,3,1,Z_C2,Z_C2,Z_C2,F,senior,True,0,9,1.0
J000015,2025-03-10 09:05:16,2025-03-10 09:07:40,144,3,2,Z_C1;Z_S4,Z_C1,Z_S4,M,adult,True,0,9,1.0
J000017,2025-03-10 09:05:58,2025-03-10 09:07:48,110,2,2,Z_S4;Z_N9,Z_S4,Z_N9,M,adult,True,0,9,1.0
J000022,2025-03-10 09:07:31,2025-03-10 09:07:58,27,3,1,Z_C2,Z_C2,Z_C2,F,teenager,True,0,9,1.0
J000024,2025-03-10 09:08:04,2025-03-10 09:08:38,34,3,1,Z_C1,Z_C1,Z_C1,F,senior,True,0,9,1.0
J000027,2025-03-10 09:08:42,2025-03-10 09:08:51,9,2,1,Z_E2,Z_E2,Z_E2,M,young_adult,True,0,9,1.0
J000028,2025-03-10 09:08:46,2025-03-10 09:09:02,16,3,1,Z_E1,Z_E1,Z_E1,F,adult,True,0,9,1.0
J000026,2025-03-10 09:08:32,2025-03-10 09:09:06,34,3,1,Z_C3,Z_C3,Z_C3,F,teenager,True,0,9,1.0
J000030,2025-03-10 09:09:04,2025-03-10 09:09:37,33,3,1,Z_C1,Z_C1,Z_C1,M,young_adult,True,0,9,1.0
J000016,2025-03-10 09:05:39,2025-03-10 09:09:46,247,3,1,Z_N6,Z_N6,Z_N6,F,middle_aged,True,0,9,1.0
J000032,2025-03-10 09:09:35,2025-03-10 09:10:01,26,3,1,Z_C1,Z_C1,Z_C1,F,adult,True,0,9,1.0
J000029,2025-03-10 09:08:58,2025-03-10 09:10:34,96,3,1,Z_S1,Z_S1,Z_S1,F,senior,True,0,9,1.0
J000035,2025-03-10 09:10:26,2025-03-10 09:10:35,9,2,1,Z_C2,Z_C2,Z_C2,F,adult,True,0,9,1.0
J000033,2025-03-10 09:09:56,2025-03-10 09:10:43,47,4,2,Z_S5;Z_E2,Z_S5,Z_E2,M,young_adult,True,0,9,1.0
J000036,2025-03-10 09:10:32,2025-03-10 09:11:03,31,3,2,Z_E2;Z_C1,Z_E2,Z_C1,M,young_adult,True,0,9,1.0
J000039,2025-03-10 09:10:59,2025-03-10 09:11:12,13,3,1,Z_C3,Z_C3,Z_C3,F,adult,True,0,9,1.0
J000037,2025-03-10 09:10:51,2025-03-10 09:11:22,31,2,2,Z_C1;Z_C2,Z_C1,Z_C2,M,young_adult,True,0,9,1.0
J000038,2025-03-10 09:10:53,2025-03-10 09:11:23,30,3,1,Z_C2,Z_C2,Z_C2,F,senior,True,0,9,1.0
J000023,2025-03-10 09:08:01,2025-03-10 09:11:31,210,4,2,Z_N5;Z_S4,Z_N5,Z_S4,M,adult,True,0,9,1.0
J000025,2025-03-10 09:08:08,2025-03-10 09:11:32,204,2,2,Z_S4;Z_N5,Z_S4,Z_N5,M,adult,True,0,9,1.0
J000031,2025-03-10 09:09:33,2025-03-10 09:11:53,140,3,1,Z_N5,Z_N5,Z_N5,F,teenager,True,0,9,1.0
J000042,2025-03-10 09:11:46,2025-03-10 09:12:09,23,3,1,Z_C3,Z_C3,Z_C3,F,senior,True,0,9,1.0
J000040,2025-03-10 09:11:12,2025-03-10 09:12:11,59,3,2,Z_C2;Z_C3,Z_C2,Z_C3,M,young_adult,True,0,9,1.0
J000045,2025-03-10 09:12:04,2025-03-10 09:12:13,9,2,1,Z_C2,Z_C2,Z_C2,F,teenager,True,0,9,1.0
J000044,2025-03-10 09:11:57,2025-03-10 09:12:18,21,4,2,Z_N3;Z_C2,Z_N3,Z_C2,M,adult,True,0,9,1.0
J000043,2025-03-10 09:11:52,2025-03-10 09:12:28,36,2,2,Z_C3;Z_S5,Z_C3,Z_S5,M,young_adult,True,0,9,1.0
J000046,2025-03-10 09:12:05,2025-03-10 09:13:02,57,3,2,Z_C2;Z_C3,Z_C2,Z_C3,M,adult,True,0,9,1.0
J000050,2025-03-10 09:12:47,2025-03-10 09:13:12,25,3,1,Z_C1,Z_C1,Z_C1,F,teenager,True,0,9,1.0
J000048,2025-03-10 09:12:36,2025-03-10 09:13:21,45,4,2,Z_N6;Z_C2,Z_N6,Z_C2,M,young_adult,True,0,9,1.0
J000049,2025-03-10 09:12:37,2025-03-10 09:13:27,50,3,1,Z_N10,Z_N10,Z_N10,F,senior,True,0,9,1.0
J000051,2025-03-10 09:12:58,2025-03-10 09:14:01,63,3,2,Z_C2;Z_C3,Z_C2,Z_C3,M,young_adult,True,0,9,1.0
J000055,2025-03-10 09:13:51,2025-03-10 09:14:08,17,3,1,Z_C1,Z_C1,Z_C1,F,senior,True,0,9,1.0
J000047,2025-03-10 09:12:28,2025-03-10 09:14:30,122,3,3,Z_C3;Z_N2;Z_N3,Z_C3,Z_N3,M,adult,True,0,9,1.0
J000034,2025-03-10 09:10:06,2025-03-10 09:14:43,277,3,1,Z_N1,Z_N1,Z_N1,F,middle_aged,True,0,9,1.0
J000056,2025-03-10 09:14:20,2025-03-10 09:14:52,32,3,1,Z_C2,Z_C2,Z_C2,F,senior,True,0,9,1.0
J000041,2025-03-10 09:11:26,2025-03-10 09:15:21,235,3,1,Z_N8,Z_N8,Z_N8,F,adult,True,0,9,1.0
J000053,2025-03-10 09:13:36,2025-03-10 09:15:37,121,3,1,Z_N2,Z_N2,Z_N2,M,adult,True,0,9,1.0
J000060,2025-03-10 09:15:15,2025-03-10 09:15:37,22,3,1,Z_C3,Z_C3,Z_C3,F,senior,True,0,9,1.0
J000052,2025-03-10 09:13:27,2025-03-10 09:16:35,188,3,1,Z_S3,Z_S3,Z_S3,F,teenager,True,0,9,1.0
J000061,2025-03-10 09:15:44,2025-03-10 09:16:56,72,3,1,Z_N7,Z_N7,Z_N7,F,adult,True,0,9,1.0
J000064,2025-03-10 09:16:58,2025-03-10 09:17:07,9,2,1,Z_C2,Z_C2,Z_C2,F,teenager,True,0,9,1.0
J000054,2025-03-10 09:13:40,2025-03-10 09:17:12,212,3,3,Z_C3;Z_N10;Z_N6,Z_C3,Z_N6,M,young_adult,True,0,9,1.0
J000063,2025-03-10 09:16:09,2025-03-10 09:17:23,74,3,1,Z_N9,Z_N9,Z_N9,F,senior,True,0,9,1.0
J000065,2025-03-10 09:17:08,2025-03-10 09:17:25,17,3,1,Z_C2,Z_C2,Z_C2,F,adult,True,0,9,1.0
J000066,2025-03-10 09:17:20,2025-03-10 09:17:40,20,3,1,Z_C3,Z_C3,Z_C3,F,teenager,True,0,9,1.0
J000058,2025-03-10 09:15:00,2025-03-10 09:17:49,169,3,2,Z_N2;Z_N5;Z_N2,Z_N2,Z_N2,M,adult,True,0,9,1.0
J000069,2025-03-10 09:17:48,2025-03-10 09:17:56,8,2,1,Z_C1,Z_C1,Z_C1,F,adult,True,0,9,1.0
J000068,2025-03-10 09:17:46,2025-03-10 09:18:21,35,3,1,Z_C2,Z_C2,Z_C2,F,senior,True,0,9,1.0
J000057,2025-03-10 09:14:35,2025-03-10 09:18:43,248,3,2,Z_N10;Z_N7;Z_N10,Z_N10,Z_N10,M,young_adult,True,0,9,1.0
J000062,2025-03-10 09:16:04,2025-03-10 09:18:50,166,3,2,Z_N5;Z_C2,Z_N5,Z_C2,M,adult,True,0,9,1.0
J000073,2025-03-10 09:18:45,2025-03-10 09:19:03,18,3,1,Z_C1,Z_C1,Z_C1,F,senior,True,0,9,1.0
J000071,2025-03-10 09:18:14,2025-03-10 09:19:10,56,3,1,Z_S4,Z_S4,Z_S4,F,adult,True,0,9,1.0
J000072,2025-03-10 09:18:15,2025-03-10 09:19:36,81,3,2,Z_C2;Z_C1,Z_C2,Z_C1,M,adult,True,0,9,1.0
J000074,2025-03-10 09:19:08,2025-03-10 09:19:58,50,3,3,Z_C1;Z_S3;Z_N5,Z_C1,Z_N5,M,adult,True,0,9,1.0
J000067,2025-03-10 09:17:20,2025-03-10 09:20:18,178,3,2,Z_N7;Z_N9,Z_N7,Z_N9,M,young_adult,True,0,9,1.0
J000059,2025-03-10 09:15:05,2025-03-10 09:20:36,331,3,1,Z_N10,Z_N10,Z_N10,F,middle_aged,True,0,9,1.0
J000078,2025-03-10 09:19:52,2025-03-10 09:20:45,53,3,2,Z_S3;Z_C2,Z_S3,Z_C2,M,adult,True,0,9,1.0
J000076,2025-03-10 09:19:15,2025-03-10 09:21:05,110,3,2,Z_N9;Z_C2,Z_N9,Z_C2,M,young_adult,True,0,9,1.0
J000077,2025-03-10 09:19:38,2025-03-10 09:21:19,101,3,1,Z_S5,Z_S5,Z_S5,F,adult,True,0,9,1.0
J000080,2025-03-10 09:20:44,2025-03-10 09:21:37,53,3,2,Z_C2;Z_C1,Z_C2,Z_C1,M,young_adult,True,0,9,1.0
J000083,2025-03-10 09:21:22,2025-03-10 09:21:38,16,2,2,Z_C1;Z_N7,Z_C1,Z_N7,M,young_adult,True,0,9,1.0
J000084,2025-03-10 09:21:29,2025-03-10 09:21:39,10,2,1,Z_C2,Z_C2,Z_C2,F,adult,True,0,9,1.0
J000079,2025-03-10 09:20:29,2025-03-10 09:21:46,77,3,2,Z_C2;Z_C1,Z_C2,Z_C1,M,adult,True,0,9,1.0
J000075,2025-03-10 09:19:15,2025-03-10 09:21:52,157,3,1,Z_S6,Z_S6,Z_S6,F,senior,True,0,9,1.0
J000070,2025-03-10 09:18:00,2025-03-10 09:22:00,240,3,1,Z_N1,Z_N1,Z_N1,F,teenager,True,0,9,1.0
J000087,2025-03-10 09:21:59,2025-03-10 09:22:33,34,3,1,Z_C3,Z_C3,Z_C3,F,adult,True,0,9,1.0
J000085,2025-03-10 09:21:50,2025-03-10 09:22:41,51,4,2,Z_CK;Z_C2,Z_CK,Z_C2,M,young_adult,True,0,9,1.0
J000090,2025-03-10 09:22:30,2025-03-10 09:22:54,24,3,1,Z_C2,Z_C2,Z_C2,F,teenager,True,0,9,1.0
J000089,2025-03-10 09:22:21,2025-03-10 09:22:55,34,3,1,Z_C2,Z_C2,Z_C2,F,senior,True,0,9,1.0
J000088,2025-03-10 09:22:12,2025-03-10 09:23:03,51,4,3,Z_C2;Z_E2;Z_C1;Z_E2,Z_C2,Z_E2,M,young_adult,True,0,9,1.0
J000091,2025-03-10 09:22:46,2025-03-10 09:23:19,33,2,2,Z_E2;Z_C1,Z_E2,Z_C1,M,young_adult,True,0,9,1.0
J000095,2025-03-10 09:23:15,2025-03-10 09:23:30,15,3,1,Z_C3,Z_C3,Z_C3,F,senior,True,0,9,1.0
J000094,2025-03-10 09:23:13,2025-03-10 09:23:43,30,3,1,Z_C1,Z_C1,Z_C1,F,teenager,True,0,9,1.0
J000093,2025-03-10 09:23:02,2025-03-10 09:23:49,47,4,2,Z_C1;Z_S3;Z_C1,Z_C1,Z_C1,M,young_adult,True,0,9,1.0
J000082,2025-03-10 09:21:14,2025-03-10 09:24:50,216,3,3,Z_C1;Z_CK;Z_S3,Z_C1,Z_S3,M,adult,True,0,9,1.0
J000099,2025-03-10 09:23:52,2025-03-10 09:24:57,65,4,2,Z_CK;Z_E1,Z_CK,Z_E1,F,teenager,True,0,9,1.0
J000096,2025-03-10 09:23:27,2025-03-10 09:25:08,101,3,2,Z_S3;Z_CK,Z_S3,Z_CK,M,young_adult,True,0,9,1.0
J000092,2025-03-10 09:23:00,2025-03-10 09:25:22,142,3,1,Z_N5,Z_N5,Z_N5,F,adult,True,0,9,1.0
J000098,2025-03-10 09:23:48,2025-03-10 09:25:27,99,3,1,Z_N7,Z_N7,Z_N7,F,senior,True,0,9,1.0
J000097,2025-03-10 09:23:36,2025-03-10 09:25:29,113,3,2,Z_C1;Z_E2,Z_C1,Z_E2,M,young_adult,True,0,9,1.0
J000081,2025-03-10 09:21:09,2025-03-10 09:25:32,263,3,1,Z_N5,Z_N5,Z_N5,F,middle_aged,True,0,9,1.0
J000086,2025-03-10 09:21:55,2025-03-10 09:25:38,223,3,2,Z_CK;Z_C2,Z_CK,Z_C2,M,adult,True,0,9,1.0
J000101,2025-03-10 09:24:41,2025-03-10 09:25:43,62,3,2,Z_E1;Z_C1,Z_E1,Z_C1,F,teenager,True,0,9,1.0
J000100,2025-03-10 09:24:04,2025-03-10 09:25:49,105,2,1,Z_S3,Z_S3,Z_S3,M,young_adult,True,0,9,1.0
J000103,2025-03-10 09:25:18,2025-03-10 09:26:08,50,3,2,Z_C2;Z_C3,Z_C2,Z_C3,M,adult,True,0,9,1.0
J000110,2025-03-10 09:26:18,2025-03-10 09:26:31,13,3,1,Z_E1,Z_E1,Z_E1,M,middle_aged,True,0,9,1.0
J000107,2025-03-10 09:25:56,2025-03-10 09:26:37,41,4,2,Z_N9;Z_E2,Z_N9,Z_E2,F,adult,True,0,9,1.0
J000112,2025-03-10 09:26:26,2025-03-10 09:26:39,13,2,2,Z_E2;Z_N9,Z_E2,Z_N9,F,adult,True,0,9,1.0
J000104,2025-03-10 09:25:29,2025-03-10 09:26:39,70,3,2,Z_C1;Z_S5,Z_C1,Z_S5,F,teenager,True,0,9,1.0
J000105,2025-03-10 09:25:46,2025-03-10 09:26:45,59,3,3,Z_C3;Z_N7;Z_CK,Z_C3,Z_CK,M,adult,True,0,9,1.0
J000102,2025-03-10 09:25:17,2025-03-10 09:26:56,99,3,2,Z_E2;Z_C2,Z_E2,Z_C2,M,young_adult,True,0,9,1.0
J000114,2025-03-10 09:26:40,2025-03-10 09:26:58,18,3,1,Z_C1,Z_C1,Z_C1,M,middle_aged,True,0,9,1.0
J000116,2025-03-10 09:26:59,2025-03-10 09:27:12,13,4,2,Z_N3;Z_C1;Z_N3;Z_C1,Z_N3,Z_C1,F,adult,True,0,9,1.0
J000109,2025-03-10 09:25:57,2025-03-10 09:27:12,75,3,3,Z_S5;Z_C2;Z_CK,Z_S5,Z_CK,F,teenager,True,0,9,1.0
J000115,2025-03-10 09:26:58,2025-03-10 09:27:24,26,2,1,Z_C2,Z_C2,Z_C2,F,teenager,True,0,9,1.0
J000113,2025-03-10 09:26:38,2025-03-10 09:27:24,46,3,2,Z_N7;Z_E2,Z_N7,Z_E2,M,adult,True,0,9,1.0
J000118,2025-03-10 09:27:05,2025-03-10 09:27:24,19,2,1,Z_E2,Z_E2,Z_E2,M,adult,True,0,9,1.0
J000111,2025-03-10 09:26:24,2025-03-10 09:27:29,65,3,2,Z_C2;Z_C3,Z_C2,Z_C3,M,young_adult,True,0,9,1.0
J000121,2025-03-10 09:27:23,2025-03-10 09:27:34,11,3,1,Z_C1,Z_C1,Z_C1,M,middle_aged,True,0,9,1.0
J000122,2025-03-10 09:27:27,2025-03-10 09:27:34,7,2,1,Z_E1,Z_E1,Z_E1,F,teenager,True,0,9,1.0
J000117,2025-03-10 09:27:00,2025-03-10 09:27:35,35,2,2,Z_C1;Z_N3,Z_C1,Z_N3,F,adult,True,0,9,1.0
J000123,2025-03-10 09:27:35,2025-03-10 09:27:49,14,3,1,Z_C2,Z_C2,Z_C2,F,adult,True,0,9,1.0
J000120,2025-03-10 09:27:16,2025-03-10 09:28:00,44,3,2,Z_E2;Z_C1,Z_E2,Z_C1,M,adult,True,0,9,1.0
J000126,2025-03-10 09:27:48,2025-03-10 09:28:00,12,3,1,Z_C2,Z_C2,Z_C2,F,adult,True,0,9,1.0
J000125,2025-03-10 09:27:42,2025-03-10 09:28:16,34,3,1,Z_C3,Z_C3,Z_C3,F,teenager,True,0,9,1.0
J000129,2025-03-10 09:28:21,2025-03-10 09:28:47,26,4,2,Z_C3;Z_C1,Z_C3,Z_C1,F,adult,True,0,9,1.0
J000124,2025-03-10 09:27:41,2025-03-10 09:28:47,66,3,2,Z_C1;Z_C2,Z_C1,Z_C2,M,adult,True,0,9,1.0
J000131,2025-03-10 09:28:29,2025-03-10 09:28:51,22,2,2,Z_C1;Z_C3,Z_C1,Z_C3,F,adult,True,0,9,1.0
J000119,2025-03-10 09:27:06,2025-03-10 09:29:02,116,3,3,Z_C3;Z_N8;Z_S3,Z_C3,Z_S3,M,young_adult,True,0,9,1.0
J000108,2025-03-10 09:25:56,2025-03-10 09:29:08,192,3,2,Z_N1;Z_E2,Z_N1,Z_E2,F,senior,True,0,9,1.0
J000130,2025-03-10 09:28:23,2025-03-10 09:29:16,53,3,2,Z_C2;Z_C3,Z_C2,Z_C3,M,adult,True,0,9,1.0
J000133,2025-03-10 09:28:59,2025-03-10 09:29:21,22,2,2,Z_E2;Z_N1,Z_E2,Z_N1,F,senior,True,0,9,1.0
J000127,2025-03-10 09:27:50,2025-03-10 09:29:46,116,2,2,Z_N8;Z_C2,Z_N8,Z_C2,M,young_adult,True,0,9,1.0
J000138,2025-03-10 09:29:34,2025-03-10 09:29:54,20,3,1,Z_C1,Z_C1,Z_C1,F,senior,True,0,9,1.0
J000140,2025-03-10 09:29:52,2025-03-10 09:30:13,21,4,1,Z_C2,Z_C2,Z_C2,F,senior,True,0,9,1.0
J000139,2025-03-10 09:29:36,2025-03-10 09:30:17,41,3,2,Z_C2;Z_C3,Z_C2,Z_C3,M,young_adult,True,0,9,1.0
J000132,2025-03-10 09:28:36,2025-03-10 09:30:25,109,3,1,Z_N10,Z_N10,Z_N10,F,teenager,True,0,9,1.0
J000106,2025-03-10 09:25:55,2025-03-10 09:30:32,277,3,1,Z_N3,Z_N3,Z_N3,F,middle_aged,True,0,9,1.0
J000142,2025-03-10 09:30:03,2025-03-10 09:30:37,34,2,1,Z_C2,Z_C2,Z_C2,F,senior,True,0,9,1.0
J000143,2025-03-10 09:30:35,2025-03-10 09:30:52,17,3,1,Z_C1,Z_C1,Z_C1,F,senior,True,0,9,1.0
J000141,2025-03-10 09:30:02,2025-03-10 09:30:53,51,3,3,Z_C3;Z_N6;Z_N8,Z_C3,Z_N8,M,young_adult,True,0,9,1.0
J000147,2025-03-10 09:30:53,2025-03-10 09:31:07,14,3,1,Z_C3,Z_C3,Z_C3,F,senior,True,0,9,1.0
J000146,2025-03-10 09:30:49,2025-03-10 09:31:10,21,3,1,Z_C2,Z_C2,Z_C2,F,middle_aged,True,0,9,1.0
J000128,2025-03-10 09:27:56,2025-03-10 09:31:13,197,3,1,Z_S2,Z_S2,Z_S2,M,middle_aged,True,0,9,1.0
J000134,2025-03-10 09:29:04,2025-03-10 09:31:29,145,3,3,Z_C3;Z_N4;Z_N7,Z_C3,Z_N7,M,adult,True,0,9,1.0
J000145,2025-03-10 09:30:40,2025-03-10 09:31:52,72,3,2,Z_N7;Z_E2,Z_N7,Z_E2,F,teenager,True,0,9,1.0
J000150,2025-03-10 09:31:22,2025-03-10 09:31:53,31,3,1,Z_C2,Z_C2,Z_C2,M,middle_aged,True,0,9,1.0
J000152,2025-03-10 09:31:39,2025-03-10 09:31:55,16,3,1,Z_C1,Z_C1,Z_C1,F,middle_aged,True,0,9,1.0
J000137,2025-03-10 09:29:25,2025-03-10 09:31:58,153,2,1,Z_N4,Z_N4,Z_N4,M,adult,True,0,9,1.0
J000135,2025-03-10 09:29:14,2025-03-10 09:32:07,173,4,2,Z_N5;Z_CK;Z_N5,Z_N5,Z_N5,F,adult,True,0,9,1.0
J000148,2025-03-10 09:31:06,2025-03-10 09:32:15,69,4,2,Z_CK;Z_N9,Z_CK,Z_N9,F,senior,True,0,9,1.0
J000153,2025-03-10 09:31:42,2025-03-10 09:32:20,38,3,2,Z_E2;Z_C1,Z_E2,Z_C1,F,teenager,True,0,9,1.0
J000154,2025-03-10 09:31:54,2025-03-10 09:32:25,31,3,1,Z_C1,Z_C1,Z_C1,M,adult,True,0,9,1.0
J000136,2025-03-10 09:29:22,2025-03-10 09:32:28,186,4,3,Z_CK;Z_E1;Z_N6;Z_E1,Z_CK,Z_E1,F,adult,True,0,9,1.0
J000156,2025-03-10 09:32:07,2025-03-10 09:32:35,28,3,1,Z_C3,Z_C3,Z_C3,M,middle_aged,True,0,9,1.0
J000158,2025-03-10 09:32:16,2025-03-10 09:33:04,48,3,2,Z_E1;Z_C1,Z_E1,Z_C1,F,adult,True,0,9,1.0
J000144,2025-03-10 09:30:36,2025-03-10 09:33:13,157,4,3,Z_N6;Z_N5;Z_E2,Z_N6,Z_E2,M,young_adult,True,0,9,1.0
J000160,2025-03-10 09:32:26,2025-03-10 09:33:32,66,4,2,Z_N8;Z_CK;Z_N8,Z_N8,Z_N8,M,adult,True,0,9,1.0
J000149,2025-03-10 09:31:21,2025-03-10 09:33:38,137,3,1,Z_N9,Z_N9,Z_N9,F,senior,True,0,9,1.0
J000151,2025-03-10 09:31:25,2025-03-10 09:33:47,142,3,2,Z_N5;Z_C1,Z_N5,Z_C1,M,young_adult,True,0,9,1.0
J000159,2025-03-10 09:32:23,2025-03-10 09:33:51,88,3,2,Z_N6;Z_C2,Z_N6,Z_C2,F,adult,True,0,9,1.0
J000163,2025-03-10 09:32:44,2025-03-10 09:33:57,73,2,2,Z_C1;Z_CK,Z_C1,Z_CK,F,adult,True,0,9,1.0
J000165,2025-03-10 09:33:01,2025-03-10 09:34:21,80,3,1,Z_N7,Z_N7,Z_N7,M,middle_aged,True,0,9,1.0
J000166,2025-03-10 09:33:01,2025-03-10 09:34:24,83,3,3,Z_E2;Z_C2;Z_N6,Z_E2,Z_N6,M,young_adult,True,0,9,1.0
J000162,2025-03-10 09:32:37,2025-03-10 09:34:28,111,3,2,Z_N9;Z_C2,Z_N9,Z_C2,F,senior,True,0,9,1.0
J000170,2025-03-10 09:33:55,2025-03-10 09:34:30,35,2,2,Z_C2;Z_CK,Z_C2,Z_CK,F,senior,True,0,9,1.0
J000167,2025-03-10 09:33:28,2025-03-10 09:34:33,65,4,3,Z_C2;Z_E2;Z_C3;Z_E2,Z_C2,Z_E2,F,adult,True,0,9,1.0
J000172,2025-03-10 09:34:19,2025-03-10 09:34:38,19,2,2,Z_E2;Z_C3,Z_E2,Z_C3,F,adult,True,0,9,1.0
J000168,2025-03-10 09:33:33,2025-03-10 09:34:39,66,2,2,Z_C1;Z_C2,Z_C1,Z_C2,M,young_adult,True,0,9,1.0
J000173,2025-03-10 09:34:25,2025-03-10 09:34:43,18,2,2,Z_C3;Z_N6,Z_C3,Z_N6,F,adult,True,0,9,1.0
J000177,2025-03-10 09:34:55,2025-03-10 09:35:04,9,2,1,Z_E2,Z_E2,Z_E2,F,senior,True,0,9,1.0
J000157,2025-03-10 09:32:09,2025-03-10 09:35:06,177,3,3,Z_C1;Z_S4;Z_N7,Z_C1,Z_N7,F,teenager,True,0,9,1.0
J000178,2025-03-10 09:35:02,2025-03-10 09:35:15,13,3,1,Z_C1,Z_C1,Z_C1,F,senior,True,0,9,1.0
J000171,2025-03-10 09:34:15,2025-03-10 09:35:18,63,4,4,Z_C2;Z_N8;Z_C3;Z_N5,Z_C2,Z_N5,M,young_adult,True,0,9,1.0
J000175,2025-03-10 09:34:46,2025-03-10 09:35:18,32,2,2,Z_N8;Z_C3,Z_N8,Z_C3,M,young_adult,True,0,9,1.0
J000161,2025-03-10 09:32:33,2025-03-10 09:35:41,188,3,2,Z_S4;Z_N10;Z_S4,Z_S4,Z_S4,F,teenager,True,0,9,1.0
J000155,2025-03-10 09:32:06,2025-03-10 09:36:07,241,3,2,Z_CK;Z_E2,Z_CK,Z_E2,F,middle_aged,True,0,9,1.0
J000181,2025-03-10 09:35:27,2025-03-10 09:36:09,42,3,1,Z_S5,Z_S5,Z_S5,F,senior,True,0,9,1.0
J000176,2025-03-10 09:34:54,2025-03-10 09:36:14,80,4,3,Z_C3;Z_N9;Z_C2,Z_C3,Z_C2,M,young_adult,True,0,9,1.0
